id,jee_main_score,jee_advanced_score,mock_test_score_avg,school_board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,dropout
ST5948,62.31,84.65,77.52,ICSE,70.89,1,FIITJEE,2.9,High,Upto 10th,Semi-Urban,Low,No,no
ST5949,71.36,39.33,58.93,ICSE,81.11,1,No Coaching,0.9,Mid,Upto 10th,Urban,High,Yes,yes
ST5950,75.41,42.08,94.8,ICSE,63.67,1,No Coaching,5.2,Mid,PG,Urban,Medium,No,no
ST5951,68.62,68.19,59.68,CBSE,59.27,2,No Coaching,5,Mid,12th,Rural,Low,Yes,no
ST5952,76.93,66.41,80.31,CBSE,75.63,2,No Coaching,6.1,Low,12th,Semi-Urban,Low,No,no
ST5953,54.48,54.53,78.13,ICSE,58.04,2,No Coaching,4.9,Mid,12th,Urban,Low,Yes,no
ST5954,92.21,78.95,71.79,CBSE,62.01,2,No Coaching,8.6,High,12th,Urban,Low,No,no
ST5955,70.85,74.49,59.95,ICSE,82.57,1,FIITJEE,4.9,High,Graduate,Semi-Urban,High,No,no
ST5956,87.64,79.73,66.18,State,72.95,1,FIITJEE,6.5,High,Graduate,Urban,High,Yes,no
ST5957,76.8,64.03,42.16,State,87.85,1,Allen,3.9,Low,12th,Semi-Urban,Low,Yes,no
ST5958,78.39,75.64,70.69,State,62.95,1,Local,2.7,Mid,12th,Semi-Urban,High,No,no
ST5959,79.98,58.87,72.2,CBSE,74.06,1,FIITJEE,5.9,Low,12th,Semi-Urban,Low,No,yes
ST5960,78.27,98.86,69.6,ICSE,79,1,FIITJEE,4.3,Mid,Graduate,Rural,Medium,Yes,no
ST5961,81,53,32.32,State,63.29,1,Local,6.2,High,PG,Urban,Medium,Yes,no
ST5962,90.61,99.68,52.81,State,85.32,2,Local,5.2,Mid,Upto 10th,Rural,Low,Yes,no
ST5963,74.75,66.56,59.02,CBSE,80.11,2,Allen,2.9,Low,Graduate,Semi-Urban,Medium,No,no
ST5964,81.93,43.99,71.5,CBSE,58.91,1,Allen,6.6,Low,12th,Urban,Low,Yes,no
ST5965,70.74,87.89,71.47,State,74.62,1,No Coaching,2.8,Low,12th,Urban,Medium,Yes,yes
ST5966,92.16,68.01,65.96,ICSE,78.86,2,Allen,5.8,Low,12th,Rural,Medium,Yes,no
ST5967,62.53,79.62,75.62,ICSE,69.1,1,Allen,7.1,High,12th,Rural,High,No,no
ST5968,97.21,85.58,55.69,ICSE,60.2,2,Local,3.7,Low,PG,Urban,Low,Yes,yes
ST5969,71.44,71.41,75.32,State,77.78,2,FIITJEE,6.8,Low,Graduate,Rural,High,Yes,no
ST5970,51.97,56.52,73.7,CBSE,97.11,1,No Coaching,5.3,Low,Upto 10th,Rural,Low,Yes,yes
ST5971,73.79,81.61,72.53,ICSE,71.13,2,Allen,6.2,High,12th,Semi-Urban,Medium,Yes,no
ST5972,62.47,66.01,65.82,State,90.69,2,Local,2.8,Mid,PG,Urban,Low,No,no
ST5973,83.77,76.97,89.97,State,67.48,2,No Coaching,4.9,High,PG,Semi-Urban,Low,No,no
ST5974,62.86,31.54,73.92,CBSE,77.16,1,No Coaching,1.7,High,12th,Semi-Urban,Low,Yes,no
ST5975,65.75,73.15,56.38,ICSE,82.72,1,Local,7.9,High,12th,Urban,Low,Yes,no
ST5976,45.55,55.78,70.98,State,74.92,2,Allen,0.5,Mid,Upto 10th,Urban,Medium,No,no
ST5977,65.67,92.45,77.03,ICSE,72.02,1,Allen,3.8,Low,Graduate,Semi-Urban,Medium,No,no
ST5978,38.07,75.97,60.94,ICSE,82.26,2,Allen,2.6,High,Upto 10th,Urban,High,No,no
ST5979,49.83,69.84,81.07,ICSE,93.91,2,Allen,5.8,Low,Graduate,Semi-Urban,Low,No,no
ST5980,82.65,73.78,72.58,State,78.01,1,No Coaching,8.3,Low,PG,Semi-Urban,High,No,yes
ST5981,83,50.02,39.89,ICSE,69.84,2,FIITJEE,5.8,Mid,PG,Rural,Medium,No,no
ST5982,77.96,91.97,71.6,CBSE,73.1,2,No Coaching,10,Mid,12th,Semi-Urban,Medium,Yes,no
ST5983,58.46,97.86,63.13,State,100,2,No Coaching,1.7,High,Upto 10th,Urban,Low,Yes,no
ST5984,71.33,72.29,74.45,State,76.35,2,Local,1.9,Mid,Upto 10th,Semi-Urban,Low,Yes,no
ST5985,71.95,91.45,79.33,ICSE,69.06,2,No Coaching,2.7,Mid,12th,Semi-Urban,High,Yes,no
ST5986,55.78,56.89,70.34,ICSE,63.55,2,Allen,4.7,Mid,Upto 10th,Urban,Medium,No,no
ST5987,93.05,53.25,87.98,ICSE,56.74,2,Local,2.4,Low,PG,Urban,High,Yes,yes
ST5988,84.28,66.65,65.86,State,78.64,1,Local,3,Mid,PG,Rural,Medium,No,no
ST5989,68.91,72.96,75.5,CBSE,81.55,1,Local,5.7,High,12th,Urban,Medium,No,no
ST5990,72.38,59.7,77.66,CBSE,71.03,2,Local,2,Mid,12th,Semi-Urban,High,No,no
ST5991,74.92,74.6,66.83,State,74.85,1,Local,2.2,High,Graduate,Urban,Medium,Yes,no
ST5992,43.42,70.9,77.35,CBSE,63.3,2,Allen,3.7,High,PG,Urban,Medium,No,no
ST5993,68.54,50.03,60.86,ICSE,76.33,2,FIITJEE,3.9,Mid,PG,Rural,High,Yes,no
ST5994,62.45,74.3,62.93,State,79.81,2,FIITJEE,6.5,Low,PG,Semi-Urban,Medium,No,yes
ST5995,57.98,79.82,52.25,CBSE,69.65,2,Local,2.7,High,PG,Rural,High,Yes,no
ST5996,68.06,68.74,70.9,State,91.9,1,FIITJEE,3.1,High,PG,Rural,Low,No,no
ST5997,97.17,84.44,71.9,CBSE,66.63,2,No Coaching,5.7,High,Graduate,Semi-Urban,Medium,Yes,no
ST5998,80.97,46.52,82.15,State,77.83,2,FIITJEE,6.1,Mid,12th,Urban,High,No,no
ST5999,64,73.49,77.49,CBSE,83.48,1,No Coaching,7.4,High,12th,Semi-Urban,Medium,No,no
ST6000,80.02,47.28,64.58,State,74.23,1,Allen,5.4,Mid,Upto 10th,Rural,Medium,Yes,no
ST6001,91.59,48.17,53.86,State,73.12,1,Local,4.8,High,PG,Rural,High,No,no
ST6002,84.94,55.91,73.19,State,60.71,1,No Coaching,5.7,Low,PG,Semi-Urban,Low,Yes,no
ST6003,72.83,50.93,81.33,State,88.57,1,Allen,4,High,12th,Rural,High,Yes,no
ST6004,62.94,57.23,77.06,State,73.3,1,Allen,4,Mid,PG,Urban,Medium,No,no
ST6005,81.78,62.57,81.01,ICSE,80.37,2,Local,1,Mid,PG,Urban,Low,Yes,no
ST6006,77.51,79.39,65.46,State,81.73,2,FIITJEE,6.3,High,PG,Semi-Urban,Low,Yes,no
ST6007,84.53,60.86,62.4,State,68.72,1,Allen,4.9,Mid,12th,Semi-Urban,Medium,Yes,no
ST6008,80.89,40.63,59.16,State,73.02,1,FIITJEE,6.1,Low,Upto 10th,Urban,High,No,yes
ST6009,86.69,84.24,67.33,CBSE,88.34,2,FIITJEE,0,Mid,12th,Semi-Urban,High,No,yes
ST6010,64.51,52.61,67.06,State,63.83,1,FIITJEE,4.4,High,PG,Urban,Medium,Yes,no
ST6011,90.44,65.06,70.48,ICSE,96.28,1,No Coaching,2.8,Low,12th,Urban,High,Yes,yes
ST6012,74.77,73.14,66.45,State,67.55,1,FIITJEE,7.5,Mid,Graduate,Urban,High,No,no
ST6013,100,69.19,66.4,CBSE,63.2,2,FIITJEE,5.7,High,PG,Urban,High,No,no
ST6014,62.35,83.51,58.68,CBSE,76.32,1,Allen,5,Mid,12th,Semi-Urban,Low,Yes,no
ST6015,96.3,73.66,79.3,State,97.08,2,Local,3.6,High,12th,Urban,Low,No,no
ST6016,74.77,52.22,68.92,State,55.89,2,No Coaching,5.3,Mid,Upto 10th,Urban,High,Yes,no
ST6017,62.88,100,65.91,State,73.59,2,FIITJEE,2.6,Mid,PG,Rural,Medium,Yes,no
ST6018,65.23,69.11,59.03,State,79.76,1,Local,4.3,Low,Graduate,Rural,Medium,No,yes
ST6019,67.52,63.64,52.02,CBSE,75.34,1,FIITJEE,3.3,Low,Graduate,Rural,Medium,Yes,yes
ST6020,77.94,81.42,83.7,State,78.82,2,FIITJEE,9,Mid,PG,Rural,Medium,Yes,no
ST6021,79.32,69.99,74.66,CBSE,67.82,2,Allen,7.4,High,12th,Semi-Urban,High,No,no
ST6022,63.97,72.39,48.51,CBSE,69,1,Local,6.6,High,Graduate,Rural,High,No,no
ST6023,71.66,100,77.16,ICSE,73.52,2,Allen,1.5,Mid,PG,Rural,Medium,No,no
ST6024,100,61.6,79.07,CBSE,63.7,1,Allen,6.2,Mid,Graduate,Rural,High,Yes,no
ST6025,96.19,60.92,69.49,State,74.55,2,FIITJEE,4.9,Low,PG,Semi-Urban,Medium,No,yes
ST6026,78.11,67.87,87.18,State,71.11,1,FIITJEE,6.9,Mid,Graduate,Urban,Medium,Yes,no
ST6027,72.53,83.14,70.6,State,70.3,1,FIITJEE,5.1,Mid,Upto 10th,Rural,Low,Yes,no
ST6028,73.68,41.9,51,State,78.21,2,Local,4.5,High,PG,Urban,Medium,Yes,no
ST6029,80.59,34.55,72.38,ICSE,56.79,2,Local,5,Low,Upto 10th,Rural,Low,Yes,no
ST6030,57.68,56.61,70.94,ICSE,72.71,1,Local,0.9,Low,PG,Semi-Urban,Medium,No,no
ST6031,68.4,39.86,60.76,ICSE,98.17,2,Local,3,Mid,Graduate,Semi-Urban,High,No,no
ST6032,48.64,59.2,74.88,ICSE,64.14,2,FIITJEE,5.2,Low,Graduate,Semi-Urban,Low,Yes,no
ST6033,77.59,74.04,47.99,CBSE,87.86,2,FIITJEE,6.8,High,12th,Urban,High,Yes,no
ST6034,81.06,51.75,79.89,ICSE,75.55,1,Allen,3.4,Mid,Graduate,Semi-Urban,Medium,No,no
ST6035,65.24,43.17,57.46,CBSE,68.97,2,FIITJEE,4.4,Mid,Upto 10th,Urban,Low,Yes,no
ST6036,94.04,67.11,56.18,State,61.79,2,Local,1.3,High,12th,Semi-Urban,Medium,Yes,no
ST6037,54.84,79.8,66.63,CBSE,76.4,2,No Coaching,7.4,Low,Upto 10th,Rural,Medium,Yes,yes
ST6038,51.5,38.88,73.2,CBSE,89.53,2,FIITJEE,6.7,Low,Upto 10th,Rural,High,Yes,no
ST6039,75.14,79.12,69.97,ICSE,71.11,1,Local,5.8,High,Upto 10th,Rural,Low,Yes,no
ST6040,86.66,79.08,59.09,State,74.19,2,Allen,5.3,High,Upto 10th,Rural,High,No,no
ST6041,95.57,81.27,61.93,State,85.1,1,FIITJEE,7.6,High,Upto 10th,Urban,High,No,no
ST6042,65.58,85.5,54.4,ICSE,78.41,1,No Coaching,2.9,High,PG,Semi-Urban,Low,No,no
ST6043,87.1,100,65.3,CBSE,59.28,2,Local,2.7,Low,PG,Urban,High,No,yes
ST6044,71.46,60.3,80.9,ICSE,75.99,2,FIITJEE,6.6,Low,12th,Urban,Medium,Yes,yes
ST6045,69.58,67.75,67.95,CBSE,90.12,1,Local,6.5,High,Upto 10th,Rural,Low,No,no
ST6046,84.37,59.34,78.31,ICSE,74.63,2,No Coaching,2.1,High,PG,Semi-Urban,Low,Yes,no
ST6047,81.13,66.03,85.46,ICSE,50,2,No Coaching,3.4,Mid,Graduate,Urban,Low,Yes,no
ST6048,49.93,90.53,60.94,State,78.88,1,Allen,7.9,Mid,12th,Urban,Low,No,no
ST6049,92.67,44.48,65.76,State,73.02,2,No Coaching,5.3,Low,PG,Urban,Low,No,yes
ST6050,91.32,52.22,94.05,State,56.71,2,FIITJEE,6.1,Mid,Graduate,Urban,Low,Yes,no
ST6051,63.24,88.03,85.33,ICSE,58.21,2,No Coaching,2.2,Mid,12th,Semi-Urban,Medium,No,no
ST6052,77.54,82.32,47.93,State,84.75,1,FIITJEE,5.8,Mid,Graduate,Rural,Low,Yes,no
ST6053,78.92,60.19,72.65,State,67.68,2,FIITJEE,1.7,Low,Upto 10th,Rural,High,Yes,yes
ST6054,75.65,79.67,68.01,ICSE,65.93,1,Local,0.5,Mid,Graduate,Urban,High,Yes,yes
ST6055,64.3,71.46,77.92,State,74.64,1,FIITJEE,6,High,Upto 10th,Semi-Urban,High,No,no
ST6056,62.6,90,59.06,CBSE,68.56,1,FIITJEE,7.4,Low,12th,Semi-Urban,Low,Yes,yes
ST6057,71.64,67.19,57.92,State,76,2,Allen,4,Mid,Upto 10th,Urban,High,No,no
ST6058,88.42,82.41,59.89,CBSE,72.97,2,Local,3.4,Low,Graduate,Semi-Urban,Medium,No,yes
ST6059,79.61,100,61.14,State,63,1,FIITJEE,7.9,Mid,Upto 10th,Urban,High,No,no
ST6060,66.81,75.57,77.78,ICSE,69.89,1,Allen,4.1,Low,Upto 10th,Rural,Low,Yes,no
ST6061,82.8,66.79,53.83,ICSE,79.43,2,Local,4.4,High,12th,Rural,Medium,Yes,no
ST6062,32.12,77.56,60.53,State,75.42,2,No Coaching,7.9,Mid,Upto 10th,Rural,Medium,Yes,no
ST6063,88.08,60.16,46.53,CBSE,74.18,1,FIITJEE,3.8,Mid,PG,Urban,Medium,No,no
ST6064,47.64,100,80.09,State,94.37,2,No Coaching,3.2,Low,12th,Urban,High,Yes,yes
ST6065,66.93,68.88,83.25,ICSE,82.31,1,Local,6.1,High,Graduate,Rural,High,Yes,no
ST6066,56.32,61.63,64.08,State,83.52,1,Local,3.1,Mid,12th,Urban,Low,No,no
ST6067,53.87,52.63,64.42,ICSE,73.34,2,Allen,4.2,High,Graduate,Semi-Urban,Medium,Yes,no
ST6068,88.25,83.56,73.44,CBSE,77.2,2,FIITJEE,1.9,Mid,Graduate,Rural,Low,Yes,no
ST6069,65.45,79.87,85.69,CBSE,70.69,2,FIITJEE,4.9,High,Upto 10th,Semi-Urban,Low,No,no
ST6070,76.85,58.04,72.9,ICSE,82.78,1,Allen,4.6,Mid,12th,Semi-Urban,Low,Yes,no
ST6071,71.34,75.22,59.63,CBSE,73.9,2,No Coaching,6.4,Low,Graduate,Urban,Medium,Yes,yes
ST6072,78.68,41.86,48.57,ICSE,77.22,2,Local,6.2,Low,PG,Urban,Medium,Yes,no
ST6073,73.08,68.96,54.62,ICSE,76.61,1,Allen,5.6,High,Upto 10th,Rural,Low,Yes,no
ST6074,54.04,73.24,68.88,ICSE,74.82,1,Local,5.3,Mid,Upto 10th,Urban,Medium,Yes,no
ST6075,85.95,93.32,60.14,State,100,2,No Coaching,4.4,Mid,Graduate,Urban,High,No,no
ST6076,65.09,53.67,70.34,CBSE,68.33,2,No Coaching,5.7,High,PG,Semi-Urban,Medium,Yes,no
ST6077,50.21,45.55,61.36,State,68.24,1,No Coaching,2.3,Mid,Upto 10th,Urban,High,Yes,no
ST6078,66.01,51.67,55.3,State,81.94,1,FIITJEE,0,Low,12th,Rural,Medium,Yes,yes
ST6079,93.01,44.61,53.88,CBSE,69.05,2,Local,6.8,Mid,Graduate,Urban,Low,Yes,no
ST6080,83.9,87.39,86.75,State,72.09,2,Local,5.8,Low,PG,Rural,Low,Yes,no
ST6081,67.12,90.78,78.67,ICSE,64.14,1,Allen,4.2,High,Graduate,Semi-Urban,High,Yes,no
ST6082,67.11,71.12,88.77,State,79.92,2,Local,6.6,Mid,Upto 10th,Semi-Urban,High,No,no
ST6083,67.5,85.54,74.48,ICSE,80.04,1,FIITJEE,3,High,PG,Semi-Urban,Medium,No,no
ST6084,100,68.14,62.84,CBSE,71.85,1,Allen,3.1,Low,Graduate,Rural,High,No,no
ST6085,77.35,64.48,83.88,State,82.15,2,No Coaching,2.8,High,Graduate,Semi-Urban,Low,Yes,no
ST6086,78.02,60.67,67.6,CBSE,56.42,2,Local,5.6,High,Graduate,Semi-Urban,Medium,Yes,no
ST6087,86.42,61.03,70.65,ICSE,67.93,1,FIITJEE,1.3,Mid,12th,Urban,High,Yes,yes
ST6088,75.34,41.24,67.49,State,73.3,1,FIITJEE,3,High,12th,Rural,Low,No,no
ST6089,68.37,70.23,32.64,ICSE,63.28,1,Local,5.1,High,12th,Semi-Urban,Low,No,no
ST6090,69.25,65.35,87.26,ICSE,57.51,2,FIITJEE,2.1,Mid,12th,Urban,Medium,No,no
ST6091,71,77.93,73.89,ICSE,71.92,1,No Coaching,3.2,High,Upto 10th,Urban,Medium,No,no
ST6092,71.48,67.5,71.96,CBSE,81.94,1,Local,0.1,Low,Graduate,Semi-Urban,Medium,No,no
ST6093,82.19,63.4,67.26,CBSE,87.82,1,Local,5.7,Mid,12th,Rural,Medium,Yes,no
ST6094,72.73,52.06,69.96,CBSE,69.53,2,Local,3.1,Low,Upto 10th,Semi-Urban,High,No,no
ST6095,82.26,67.15,60.83,State,82.33,1,Allen,2.3,Mid,12th,Urban,Medium,No,no
ST6096,70.87,77.81,75.4,ICSE,81.37,2,No Coaching,1.9,High,Upto 10th,Rural,High,No,yes
ST6097,73.1,47.71,52.31,CBSE,87.19,2,FIITJEE,3.7,Low,PG,Urban,Low,No,yes
ST6098,44.03,67.4,70.23,ICSE,71.5,1,Local,1.3,Low,12th,Semi-Urban,Medium,No,no
ST6099,84.83,69.73,74.74,CBSE,57.01,1,Local,8.4,Low,12th,Rural,Medium,Yes,yes
ST6100,76.85,54.51,65.62,ICSE,75.7,1,FIITJEE,0,High,Graduate,Semi-Urban,Medium,Yes,no
ST6101,85.97,56.59,72.45,CBSE,64.86,2,No Coaching,3.6,Low,12th,Semi-Urban,Medium,No,no
ST6102,31.45,69.69,56.1,CBSE,67.76,1,FIITJEE,4.7,Low,12th,Semi-Urban,Medium,Yes,no
ST6103,100,47.87,56.41,CBSE,71.99,2,FIITJEE,2.9,High,Upto 10th,Urban,Medium,No,no
ST6104,70.05,71.6,70.84,CBSE,71.61,2,Local,4.9,High,Graduate,Rural,Medium,Yes,no
ST6105,87.51,51.67,76.14,ICSE,76.42,2,Allen,2.9,High,Graduate,Rural,High,No,no
ST6106,57.44,83.01,45.5,CBSE,82.03,2,Allen,7.6,Low,PG,Urban,Medium,No,yes
ST6107,80.58,100,74.26,CBSE,71.32,2,Allen,2.3,Low,Upto 10th,Rural,Medium,No,no
ST6108,57.25,52.23,61.48,CBSE,78.96,2,Allen,0,Low,12th,Rural,Medium,Yes,yes
ST6109,63.27,74.55,65.69,ICSE,75.15,1,Allen,1.9,Mid,Upto 10th,Semi-Urban,High,No,yes
ST6110,98.8,54.37,51.93,CBSE,84.35,1,Local,5.3,Low,12th,Semi-Urban,Medium,Yes,no
ST6111,69.33,82.66,57.78,ICSE,73.11,2,Allen,4.3,Low,PG,Urban,Medium,No,no
ST6112,75.04,45.76,79.59,State,74.21,2,FIITJEE,6,Mid,12th,Rural,Low,No,no
ST6113,84.18,73.69,68.39,ICSE,71.26,1,Local,5.5,Mid,Graduate,Urban,Medium,Yes,no
ST6114,78.94,52.03,63.41,State,73.38,1,FIITJEE,3.2,Low,PG,Urban,Low,No,no
ST6115,74.11,62.69,66.6,CBSE,67.17,1,Allen,3.5,Mid,12th,Urban,Low,Yes,no
ST6116,77.11,49.5,73.87,CBSE,66.17,1,No Coaching,3.7,Low,PG,Urban,Medium,No,yes
ST6117,100,79.16,73.29,ICSE,82.76,2,Allen,8.3,High,Graduate,Semi-Urban,Medium,Yes,no
ST6118,71.19,52.61,67.1,CBSE,64.17,1,Local,5.9,High,Graduate,Urban,Medium,Yes,no
ST6119,74.82,74.83,81.12,CBSE,71.81,2,FIITJEE,8.3,High,Upto 10th,Rural,Low,No,no
ST6120,86.71,60.49,79.65,ICSE,85.15,2,No Coaching,6.2,High,12th,Semi-Urban,High,No,no
ST6121,87.48,64.17,72.96,CBSE,71.47,1,No Coaching,4.4,Mid,PG,Semi-Urban,High,No,no
ST6122,88.62,68.36,68.66,State,83.29,1,No Coaching,2.5,Low,Upto 10th,Urban,Medium,No,no
ST6123,80.94,53.81,75.89,State,69.09,2,FIITJEE,4.9,Mid,PG,Semi-Urban,Medium,Yes,no
ST6124,56,69.37,71.77,CBSE,64.49,2,Local,4.4,High,Upto 10th,Semi-Urban,Low,Yes,no
ST6125,94.87,90.49,80.73,CBSE,59.05,2,No Coaching,4.3,High,Upto 10th,Semi-Urban,Low,Yes,no
ST6126,55.95,53.55,78.79,State,88.13,2,FIITJEE,4.1,Low,Upto 10th,Semi-Urban,High,Yes,no
ST6127,76.24,84.75,55.78,CBSE,63.63,1,FIITJEE,0.4,Mid,Graduate,Semi-Urban,Low,Yes,no
ST6128,61.44,89.97,54.97,State,82.47,1,Allen,7,High,Graduate,Semi-Urban,High,No,no
ST6129,71.1,52.94,59.59,ICSE,65,1,FIITJEE,4.4,Mid,Graduate,Rural,Medium,No,no
ST6130,76.6,42.72,79.71,State,88.17,1,Local,1.7,Low,Graduate,Semi-Urban,High,Yes,yes
ST6131,76.5,70.83,49.08,CBSE,97.07,1,Local,5.5,Low,PG,Semi-Urban,High,No,no
ST6132,77.91,57.24,72.74,CBSE,58.13,2,No Coaching,2.8,Mid,12th,Urban,Medium,Yes,no
ST6133,94.59,95.9,72.35,State,64.15,2,FIITJEE,5.6,Low,Graduate,Semi-Urban,High,Yes,yes
ST6134,78.35,66.56,81.95,State,82.73,1,FIITJEE,6.3,Mid,12th,Semi-Urban,Low,No,no
ST6135,68.58,53.16,70.16,CBSE,80.13,1,Allen,6.5,Mid,Upto 10th,Urban,Low,Yes,no
ST6136,85.5,47.65,51.88,CBSE,82.77,2,Allen,4.2,Mid,12th,Rural,Medium,No,no
ST6137,88.65,83.44,56.49,CBSE,69.26,2,FIITJEE,3.7,High,Graduate,Rural,Medium,No,no
ST6138,54.81,56.86,53.82,ICSE,94.88,1,FIITJEE,3.2,High,PG,Semi-Urban,Low,Yes,no
ST6139,80.36,66.7,61.54,ICSE,76.18,1,FIITJEE,3.1,Mid,Graduate,Rural,Low,Yes,no
ST6140,81.82,81.29,65.81,State,62.83,2,Allen,4.5,Low,PG,Rural,Low,Yes,no
ST6141,67.83,58.25,54.01,State,72.47,1,Allen,4.1,Low,Graduate,Rural,Low,No,yes
ST6142,91.26,65.27,85.65,ICSE,62.96,1,Local,2.8,High,Upto 10th,Rural,High,Yes,no
ST6143,69.9,65.73,52.1,ICSE,90.91,2,No Coaching,2.2,Mid,PG,Semi-Urban,Low,Yes,no
ST6144,73.76,76.93,84.15,State,68.4,2,No Coaching,4.3,High,Upto 10th,Semi-Urban,Medium,No,no
ST6145,69.58,75.45,82.22,ICSE,79.92,2,No Coaching,3.6,Mid,Graduate,Urban,Medium,No,no
ST6146,72.22,62.48,78.78,State,70.29,1,No Coaching,2.2,Low,Upto 10th,Semi-Urban,Low,No,no
ST6147,56.65,67.02,59.67,CBSE,68.85,2,Allen,6.2,Low,12th,Semi-Urban,High,No,yes
ST6148,51.84,60.05,72.11,State,55.9,1,Allen,8,High,12th,Rural,Low,No,no
ST6149,94.32,42.36,52.67,ICSE,80.98,2,FIITJEE,6.4,Low,PG,Rural,Low,No,no
ST6150,60.14,70.12,78.93,ICSE,87.99,1,Local,3.1,Mid,12th,Semi-Urban,Medium,Yes,no
ST6151,58.12,96.28,67.11,ICSE,65.84,1,Local,4.4,Low,12th,Semi-Urban,Medium,No,no
ST6152,41.85,51.86,63.09,State,59.55,2,No Coaching,7.6,Low,Graduate,Rural,High,No,yes
ST6153,63.05,53.63,53.32,ICSE,83.03,1,FIITJEE,2.2,High,Graduate,Semi-Urban,High,Yes,no
ST6154,53.48,52.07,38.27,State,58.54,1,FIITJEE,6.1,Mid,12th,Semi-Urban,High,No,no
ST6155,94.99,77.59,55.54,CBSE,87.2,2,Allen,1.6,High,PG,Rural,Medium,Yes,no
ST6156,86.14,73.18,81.35,CBSE,65.96,1,FIITJEE,7.9,High,12th,Rural,High,Yes,no
ST6157,62.37,63.46,63.17,ICSE,63.97,2,Local,3.6,Low,Graduate,Urban,Low,Yes,no
ST6158,100,51.31,65.97,State,77.48,1,Local,9,Mid,Upto 10th,Semi-Urban,Low,Yes,no
ST6159,85.74,67.48,75.87,State,64.62,2,FIITJEE,8,Mid,PG,Rural,Medium,No,no
ST6160,67.45,40.97,89.67,ICSE,67.93,2,Allen,4.3,High,PG,Rural,Low,No,no
ST6161,37.01,68.29,83.9,State,78.54,1,Local,3.1,High,12th,Semi-Urban,High,No,no
ST6162,100,79.94,56.33,ICSE,50.71,2,Allen,4.9,Low,Upto 10th,Semi-Urban,Low,No,no
ST6163,52.55,45.98,44.69,ICSE,91.42,2,Allen,4.1,Mid,PG,Rural,High,No,no
ST6164,48.96,41.48,96.32,CBSE,75.44,1,Local,3.7,Mid,PG,Semi-Urban,High,Yes,yes
ST6165,86.32,91.27,95.23,ICSE,62.07,2,Allen,1.2,Low,Graduate,Urban,High,No,yes
ST6166,100,56.21,70.26,State,64.83,2,No Coaching,3.5,High,12th,Rural,Low,No,no
ST6167,91.38,84.18,52.75,ICSE,84.92,2,No Coaching,2.3,Mid,12th,Rural,Medium,No,no
ST6168,79.89,63.54,79.56,CBSE,81.01,2,No Coaching,5.6,Low,PG,Semi-Urban,High,No,yes
ST6169,80.33,63.41,66.7,CBSE,88.87,1,FIITJEE,6.5,High,Upto 10th,Rural,Low,Yes,no
ST6170,83.95,73.01,66.64,State,68.17,2,Local,6,Low,Upto 10th,Semi-Urban,Medium,Yes,no
ST6171,82.63,51.86,78.73,ICSE,77.97,2,No Coaching,5.2,Mid,Upto 10th,Urban,Low,Yes,no
ST6172,75.94,68.12,72.01,State,79.27,2,Allen,2.8,High,Upto 10th,Urban,Medium,Yes,no
ST6173,73.46,59.9,53.77,State,81.95,1,No Coaching,4.9,Low,12th,Urban,Low,Yes,yes
ST6174,71.12,44.87,64.1,ICSE,86.27,1,Allen,6.1,Low,Graduate,Rural,High,Yes,no
ST6175,61.44,71.4,75.93,CBSE,67.83,2,Local,3.3,Low,Upto 10th,Urban,Low,Yes,yes
ST6176,68.07,61.79,74.12,State,73.86,2,No Coaching,4.7,Mid,Upto 10th,Semi-Urban,Medium,No,no
ST6177,48.3,63.49,71.14,State,68.9,1,Local,4.2,Mid,Graduate,Semi-Urban,High,No,no
ST6178,70.62,46.64,79.2,CBSE,74.47,2,No Coaching,7.8,Mid,12th,Urban,High,No,no
ST6179,58.16,91.46,63.66,ICSE,81.98,2,Allen,6.2,Low,Graduate,Urban,Low,Yes,no
ST6180,56.55,80.03,70.14,ICSE,58.46,2,Allen,5.7,Mid,Graduate,Semi-Urban,High,No,no
ST6181,74.52,81.43,27.49,ICSE,86.09,2,FIITJEE,1.1,Low,Upto 10th,Urban,Medium,No,yes
ST6182,91.49,61.11,62.6,CBSE,63.61,1,FIITJEE,4.8,Low,Graduate,Urban,High,Yes,no
ST6183,84.86,38.33,77.17,State,71.93,1,FIITJEE,4.2,Low,Graduate,Urban,Medium,No,yes
ST6184,50.01,97.25,63.32,CBSE,87.44,1,No Coaching,4.2,High,12th,Semi-Urban,Medium,No,no
ST6185,58.15,65.02,62.41,State,78.28,1,Local,1.4,Low,Upto 10th,Semi-Urban,Medium,Yes,no
ST6186,85.17,54.02,55.5,State,78.4,1,No Coaching,2.3,Mid,Upto 10th,Urban,High,Yes,no
ST6187,58.25,72.67,80.04,ICSE,63.19,2,Allen,4.4,Low,PG,Semi-Urban,High,Yes,yes
ST6188,68.86,84.67,74.58,ICSE,64.56,1,Local,6.7,Mid,Upto 10th,Urban,Low,No,no
ST6189,79.7,65.63,77.9,ICSE,84.41,2,Allen,3.3,High,12th,Urban,Medium,Yes,no
ST6190,58.44,86.46,47.29,CBSE,69.11,1,FIITJEE,3.7,High,12th,Urban,Medium,No,no
ST6191,73.48,83.33,66.07,ICSE,70.05,2,Allen,8.1,Low,12th,Rural,Low,No,no
